GEOID,Name,state_new,,,,,
05000US13155,"Irwin County, Georgia",MG,,,,,
05000US13157,"Jackson County, Georgia",PT,,,,,
05000US13159,"Jasper County, Georgia",MG,,,,,
05000US13161,"Jeff Davis County, Georgia",DX,,,,,
05000US13163,"Jefferson County, Georgia",MG,,,,,
05000US13165,"Jenkins County, Georgia",MG,,,,,
05000US13167,"Johnson County, Georgia",MG,,,,,
05000US13169,"Jones County, Georgia",MG,,,,,
05000US13171,"Lamar County, Georgia",MG,,,,,
05000US13173,"Lanier County, Georgia",DX,,,,,
05000US13175,"Laurens County, Georgia",MG,,,,,
05000US13177,"Lee County, Georgia",DX,,,,,
05000US13179,"Liberty County, Georgia",FC,,,,,
05000US13181,"Lincoln County, Georgia",MG,,,,,
05000US13183,"Long County, Georgia",FC,,,,,
05000US13185,"Lowndes County, Georgia",DX,,,,,
05000US13187,"Lumpkin County, Georgia",PT,,,,,
05000US13189,"McDuffie County, Georgia",MG,,,,,
05000US13191,"McIntosh County, Georgia",FC,,,,,
05000US13193,"Macon County, Georgia",DX,,,,,
05000US13195,"Madison County, Georgia",MG,,,,,
05000US13197,"Marion County, Georgia",DX,,,,,
05000US13199,"Meriwether County, Georgia",PT,,,,,
05000US13201,"Miller County, Georgia",DX,,,,,
05000US13205,"Mitchell County, Georgia",DX,,,,,
05000US13207,"Monroe County, Georgia",MG,,,,,
05000US13209,"Montgomery County, Georgia",MG,,,,,
05000US13211,"Morgan County, Georgia",PT,,,,,
05000US13213,"Murray County, Georgia",PT,,,,,
05000US13215,"Muscogee County, Georgia",DX,,,,,
05000US13217,"Newton County, Georgia",PT,,,,,
05000US13219,"Oconee County, Georgia",PT,,,,,
05000US13221,"Oglethorpe County, Georgia",MG,,,,,
05000US13223,"Paulding County, Georgia",PT,,,,,
05000US13225,"Peach County, Georgia",MG,,,,,
05000US13227,"Pickens County, Georgia",PT,,,,,
05000US13229,"Pierce County, Georgia",MG,,,,,
05000US13231,"Pike County, Georgia",PT,,,,,
05000US13233,"Polk County, Georgia",MG,,,,,
05000US13235,"Pulaski County, Georgia",MG,,,,,
05000US13237,"Putnam County, Georgia",MG,,,,,
05000US13239,"Quitman County, Georgia",DX,,,,,
05000US13241,"Rabun County, Georgia",AP,,,,,
05000US13243,"Randolph County, Georgia",DX,,,,,
05000US13245,"Richmond County, Georgia",MG,,,,,
05000US13247,"Rockdale County, Georgia",PT,,,,,
05000US13249,"Schley County, Georgia",DX,,,,,
05000US13251,"Screven County, Georgia",MG,,,,,
05000US13253,"Seminole County, Georgia",DX,,,,,
