GEOID,state_new
05000US27007,UM
05000US27009,UM
05000US27011,UM
05000US27013,HL
05000US27015,HL
05000US27017,UM
05000US27019,UM
05000US27021,UM
05000US27023,UM
05000US27025,UM
05000US27027,UM
05000US27029,UM
05000US27031,UM
05000US27033,HL
05000US27035,UM
05000US27037,UM
05000US27039,HL
05000US27041,UM
05000US27043,HL
05000US27045,HL
05000US27047,HL
05000US27049,HL
05000US27051,UM
05000US27053,UM
05000US27055,HL
05000US27057,UM
05000US27059,UM
05000US27061,UM
05000US27063,HL
05000US27065,UM
05000US27067,UM
05000US27069,UM
05000US27071,UM
05000US27073,HL
05000US27075,UM
05000US27077,UM
05000US27079,HL
05000US27081,HL
05000US27083,HL
05000US27085,HL
05000US27087,UM
05000US27089,UM
05000US27091,HL
05000US27093,UM
05000US27095,UM
05000US27097,UM
05000US27099,HL
05000US27101,HL
05000US27103,HL
05000US27105,HL
05000US27107,UM
05000US27109,HL
05000US27111,UM
05000US27113,UM
05000US27115,UM
05000US27117,HL
05000US27119,UM
05000US27121,UM
05000US27123,UM
05000US27125,UM
05000US27127,HL
05000US27129,HL
05000US27131,HL
05000US27133,HL
05000US27135,UM
05000US27137,UM
05000US27139,UM
05000US27141,UM
05000US27143,HL
05000US27145,UM
05000US27147,HL
05000US27149,UM
05000US27151,UM
05000US27153,UM
05000US27155,UM
05000US27157,HL
05000US27159,UM
05000US27161,HL
05000US27163,UM
05000US27165,HL
05000US27167,UM
05000US27169,HL
05000US27171,UM
05000US27173,HL
05000US28001,BR
05000US28003,BN
05000US28005,BR
05000US28007,DX
05000US28009,BN
05000US28011,BR
05000US28013,BN
05000US28015,BN
05000US28017,BN
05000US28019,DX
05000US28021,BR
05000US28023,DX
05000US28025,BN
05000US28027,BR
05000US28029,BR
05000US28031,DX
05000US28033,BR
05000US28035,DX
05000US28037,BR
05000US28039,DX
05000US28041,DX
05000US28043,BN
05000US28045,DX
05000US28047,DX
05000US28049,BR
05000US28051,BN
05000US28053,BR
05000US28055,BR
05000US28057,BN
05000US28059,DX
05000US28061,DX
05000US28063,BR
05000US28065,DX
05000US28067,DX
05000US28069,DX
05000US28071,BN
05000US28073,DX
05000US28075,DX
05000US28077,BR
05000US28079,DX
05000US28081,BN
05000US28083,BR
05000US28085,BR
05000US28087,DX
05000US28089,BR
05000US28091,BR
05000US28093,BR
05000US28095,BN
05000US28097,BN
05000US28099,DX
05000US28101,DX
05000US28103,DX
05000US28105,DX
05000US28107,BR
05000US28109,DX
05000US28111,DX
05000US28113,BR
05000US28115,BN
05000US28117,BN
05000US28119,BR
05000US28121,BR
05000US28123,DX
05000US28125,BR
05000US28127,BR
05000US28129,DX
05000US28131,DX
05000US28133,BR
05000US28135,BR
05000US28137,BR
05000US28139,BN
05000US28141,BN
05000US28143,BR
05000US28145,BN
05000US28147,BR
05000US28149,BR
05000US28151,BR
05000US28153,DX
05000US28155,BN
05000US28157,BR
05000US28159,DX
05000US28161,BN
05000US28163,BR
05000US29001,LI
05000US29003,SF
05000US29005,SF
05000US29007,LI
05000US29009,OZ
05000US29011,SF
05000US29013,SF
05000US29015,LI
05000US29017,OZ
05000US29019,LI
05000US29021,SF
05000US29023,OZ
05000US29025,LI
05000US29027,LI
05000US29029,OZ
05000US29031,BR
05000US29033,LI
05000US29035,OZ
05000US29037,SF
05000US29039,OZ
05000US29041,LI
05000US29043,OZ
05000US29045,LI
05000US29047,SF
05000US29049,LI
05000US29051,LI
05000US29053,LI
05000US29055,OZ
05000US29057,OZ
05000US29059,OZ
05000US29061,LI
05000US29063,LI
05000US29065,OZ
05000US29067,OZ
05000US29069,BR
05000US29071,OZ
05000US29073,OZ
05000US29075,LI
05000US29077,OZ
05000US29079,LI
05000US29081,LI
05000US29083,LI
05000US29085,OZ
05000US29087,SF
05000US29089,LI
05000US29091,OZ
05000US29093,OZ
05000US29095,SF
05000US29097,OZ
05000US29099,OZ
05000US29101,LI
05000US29103,LI
05000US29105,OZ
